frame_number,write_time_unix,write_time_iso,expected_delta,actual_delta,delta_error,queue_delay,capture_latency,write_duration,queue_backlog_after,camera_frame_index,display_frame_index,camera_timestamp_unix,camera_timestamp_diff,available_camera_fps,dropped_frames_total,duplicates_total,is_duplicate
85,1758850628.022318,2025-09-26T01:37:08.022+00:00,0.040000,0.041378,0.001378,0.000066,,0.005849,0,,,,,,,53,1
86,1758850628.062283,2025-09-26T01:37:08.062+00:00,0.040000,0.039965,-0.000035,0.001453,,0.023976,0,,,,,,,54,1
87,1758850628.101127,2025-09-26T01:37:08.101+00:00,0.040000,0.038844,-0.001156,0.000115,0.046873,0.009127,0,,33,1758850628.057610,0.043516,9.226307,0,54,0
88,1758850628.141385,2025-09-26T01:37:08.141+00:00,0.040000,0.040258,0.000258,0.000048,,0.003393,0,,,,,,,55,1
89,1758850628.183140,2025-09-26T01:37:08.183+00:00,0.040000,0.041755,0.001755,0.002296,0.042202,0.005446,0,,34,1758850628.151762,0.031377,9.263170,0,55,0
90,1758850628.220917,2025-09-26T01:37:08.220+00:00,0.040000,0.037777,-0.002223,0.000063,,0.005353,0,,,,,,,56,1
91,1758850628.264153,2025-09-26T01:37:08.264+00:00,0.040000,0.043236,0.003236,0.000101,0.053858,0.006089,0,,35,1758850628.212010,0.052143,9.385153,0,56,0
92,1758850628.300912,2025-09-26T01:37:08.300+00:00,0.040000,0.036758,-0.003242,0.000055,,0.005691,0,,,,,,,57,1
93,1758850628.341223,2025-09-26T01:37:08.341+00:00,0.040000,0.040311,0.000311,0.000349,0.055662,0.008402,0,,36,1758850628.298275,0.042949,9.436487,0,57,0
94,1758850628.380901,2025-09-26T01:37:08.380+00:00,0.040000,0.039676,-0.000324,0.000054,,0.007330,0,,,,,,,58,1
95,1758850628.422342,2025-09-26T01:37:08.422+00:00,0.040000,0.041441,0.001441,0.000099,0.040546,0.008160,0,,37,1758850628.383429,0.038913,9.488262,0,58,0
96,1758850628.462239,2025-09-26T01:37:08.462+00:00,0.040000,0.039898,-0.000102,0.001399,,0.020089,0,,,,,,,59,1
97,1758850628.500942,2025-09-26T01:37:08.500+00:00,0.040000,0.038702,-0.001298,0.000101,0.032753,0.030119,0,,38,1758850628.470058,0.030884,9.534139,0,59,0
98,1758850628.546248,2025-09-26T01:37:08.546+00:00,0.040000,0.045307,0.005307,0.002876,,0.017675,0,,,,,,,60,1
99,1758850628.583065,2025-09-26T01:37:08.583+00:00,0.040000,0.036815,-0.003185,0.002237,,0.018378,0,,,,,,,61,1
100,1758850628.621381,2025-09-26T01:37:08.621+00:00,0.040000,0.038318,-0.001682,0.000071,0.055131,0.016903,0,,39,1758850628.578238,0.043142,9.526266,0,61,0
101,1758850628.662355,2025-09-26T01:37:08.662+00:00,0.040000,0.040975,0.000975,0.000073,,0.020041,0,,,,,,,62,1
102,1758850628.702391,2025-09-26T01:37:08.702+00:00,0.040000,0.040036,0.000036,0.000075,,0.009329,0,,,,,,,63,1
103,1758850628.742286,2025-09-26T01:37:08.742+00:00,0.040000,0.039895,-0.000105,0.001443,0.049194,0.015164,0,,40,1758850628.696238,0.046048,9.496049,0,63,0
104,1758850628.780924,2025-09-26T01:37:08.780+00:00,0.040000,0.038639,-0.001361,0.000071,,0.007393,0,,,,,,,64,1
105,1758850628.822257,2025-09-26T01:37:08.822+00:00,0.040000,0.041333,0.001333,0.001388,0.051710,0.017658,0,,41,1758850628.772138,0.050119,9.562810,0,64,0
106,1758850628.860873,2025-09-26T01:37:08.860+00:00,0.040000,0.038616,-0.001384,0.000042,,0.018299,0,,,,,,,65,1
107,1758850628.900859,2025-09-26T01:37:08.900+00:00,0.040000,0.039986,-0.000014,0.000043,0.100802,0.016304,0,,42,1758850628.854236,0.046623,9.613200,0,65,0
108,1758850628.941821,2025-09-26T01:37:08.941+00:00,0.040000,0.040962,0.000962,0.000145,,0.021677,0,,,,,,,66,1
109,1758850628.981387,2025-09-26T01:37:08.981+00:00,0.040000,0.039566,-0.000434,0.000074,,0.039473,1,,,,,,,67,1
