frame_number,write_time_unix,write_time_iso,expected_delta,actual_delta,delta_error,queue_delay,capture_latency,write_duration,queue_backlog_after,camera_frame_index,display_frame_index,camera_timestamp_unix,camera_timestamp_diff,gaze_timestamp_unix,gaze_timestamp_diff,available_camera_fps,dropped_frames_total,duplicates_total
46,1758757949.091812,2025-09-24T23:52:29.091+00:00,0.200000,0.204771,0.004771,0.006935,0.016928,0.022779,0,552,552,1758757949.130612,-0.038800,1758757949.199557,-0.107745,30.052152,0,27
47,1758757949.304822,2025-09-24T23:52:29.304+00:00,0.200000,0.213011,0.013011,0.006908,0.015812,0.015560,0,558,558,1758757949.330668,-0.025845,1758757949.394812,-0.089990,29.918716,0,27
48,1758757949.501695,2025-09-24T23:52:29.501+00:00,0.200000,0.196873,-0.003127,0.010033,0.019205,0.017954,0,564,564,1758757949.530723,-0.029028,1758757949.604934,-0.103239,30.061902,0,27
49,1758757949.700012,2025-09-24T23:52:29.700+00:00,0.200000,0.198317,-0.001683,0.009572,0.019296,0.020601,0,570,570,1758757949.730779,-0.030767,1758757949.805179,-0.105166,30.074119,0,27
50,1758757949.897485,2025-09-24T23:52:29.897+00:00,0.200000,0.197472,-0.002528,0.006942,0.015934,0.020111,0,576,576,1758757949.930834,-0.033349,1758757950.000312,-0.102827,29.985256,0,27
51,1758757950.089770,2025-09-24T23:52:30.089+00:00,0.200000,0.192285,-0.007715,0.009272,0.018314,0.010555,0,582,582,1758757950.130890,-0.041120,1758757950.200557,-0.110787,30.055808,0,27
52,1758757950.289168,2025-09-24T23:52:30.289+00:00,0.200000,0.199398,-0.000602,0.006947,0.015935,0.011092,0,588,588,1758757950.330945,-0.041777,1758757950.400690,-0.111522,30.048470,0,27
53,1758757950.497061,2025-09-24T23:52:30.497+00:00,0.200000,0.207893,0.007893,0.007231,0.016528,0.008788,0,594,594,1758757950.530990,-0.033928,1758757950.600945,-0.103884,30.027260,0,27
54,1758757950.702865,2025-09-24T23:52:30.702+00:00,0.200000,0.205804,0.005804,0.007405,0.017316,0.026327,0,600,600,1758757950.731045,-0.028181,1758757950.806068,-0.103203,30.091114,0,27
55,1758757950.898743,2025-09-24T23:52:30.898+00:00,0.200000,0.195878,-0.004122,0.007716,0.016583,0.022209,0,606,606,1758757950.930906,-0.032163,1758757951.006312,-0.107569,30.036602,0,27
56,1758757951.092355,2025-09-24T23:52:31.092+00:00,0.200000,0.193611,-0.006389,0.007729,0.016602,0.021634,0,612,612,1758757951.130961,-0.038606,1758757951.201445,-0.109090,30.029847,0,27
57,1758757951.298525,2025-09-24T23:52:31.298+00:00,0.200000,0.206171,0.006171,0.008817,0.018595,0.022238,0,618,618,1758757951.331017,-0.032492,1758757951.406690,-0.108165,30.038850,0,27
58,1758757951.493265,2025-09-24T23:52:31.493+00:00,0.200000,0.194740,-0.005260,0.007291,0.017135,0.010897,0,624,624,1758757951.531072,-0.037808,1758757951.601823,-0.108558,30.054328,0,27
59,1758757951.692088,2025-09-24T23:52:31.692+00:00,0.200000,0.198823,-0.001177,0.008871,0.017813,0.026125,0,630,630,1758757951.731128,-0.039040,1758757951.802068,-0.109979,30.069524,0,27
60,1758757951.896918,2025-09-24T23:52:31.896+00:00,0.200000,0.204830,0.004830,0.007759,0.017154,0.020332,0,636,636,1758757951.931184,-0.034266,1758757952.002201,-0.105283,30.007418,0,27
61,1758757952.098032,2025-09-24T23:52:32.098+00:00,0.200000,0.201114,0.001114,0.007980,0.017034,0.021551,0,642,642,1758757952.131239,-0.033207,1758757952.202855,-0.104823,30.001345,0,27
62,1758757952.297235,2025-09-24T23:52:32.297+00:00,0.200000,0.199203,-0.000797,0.007947,0.016929,0.021389,0,648,648,1758757952.331295,-0.034060,1758757952.402989,-0.105754,29.998741,0,27
63,1758757952.498744,2025-09-24T23:52:32.498+00:00,0.200000,0.201509,0.001509,0.009208,0.018174,0.011411,0,654,654,1758757952.531350,-0.032606,1758757952.608233,-0.109489,29.997444,0,27
64,1758757952.698061,2025-09-24T23:52:32.698+00:00,0.200000,0.199317,-0.000683,0.007303,0.016384,0.020277,0,660,660,1758757952.731406,-0.033345,1758757952.803366,-0.105305,30.025757,0,27
